fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
14148,54,178.3,0.6,0.6,145.9,0,0,0,0,0,0,3
67,1,-29.1,-0.4,0.2,11.2,66,1,-20.6,-0.3,0.2,11.0,3
19108,73,128.7,0.5,0.6,144.8,0,0,0,0,0,0,3
16728,65,154.2,0.6,0.6,143.0,0,0,0,0,0,0,3
15429,59,128.1,0.5,0.6,144.2,0,0,0,0,0,0,3
66,1,-20.6,-0.3,0.2,11.0,67,1,-29.1,-0.4,0.2,11.2,3
20626,79,151.8,0.6,0.6,145.3,0,0,0,0,0,0,3
18066,70,133.8,0.5,0.6,142.3,0,0,0,0,0,0,3
16983,65,155.4,0.6,0.6,145.2,0,0,0,0,0,0,3
21977,84,135.1,0.5,0.6,144.6,0,0,0,0,0,0,3
19545,76,147.9,0.6,0.6,142.7,0,0,0,0,0,0,3
18251,70,126.8,0.5,0.6,143.7,0,0,0,0,0,0,3
23547,90,157.0,0.6,0.6,145.4,0,0,0,0,0,0,3
20920,82,137.5,0.6,0.6,142.3,0,0,0,0,0,0,3
19711,76,146.0,0.6,0.6,143.9,0,0,0,0,0,0,3
25015,96,146.8,0.6,0.6,145.4,0,0,0,0,0,0,3
22145,87,122.5,0.5,0.6,141.1,0,0,0,0,0,0,3
21018,82,130.7,0.6,0.6,143.0,0,0,0,0,0,0,3
26348,101,133.3,0.5,0.6,144.8,0,0,0,0,0,0,3
23480,93,133.5,0.6,0.6,140.6,0,0,0,0,0,0,3
22145,87,112.7,0.5,0.6,141.1,0,0,0,0,0,0,3
27722,107,137.4,0.6,0.6,144.4,0,0,0,0,0,0,3
24648,98,116.8,0.5,0.6,139.3,0,0,0,0,0,0,3
23710,93,156.5,0.6,0.6,142.0,0,0,0,0,0,0,3
29220,113,149.8,0.6,0.6,144.7,0,0,0,0,0,0,3
25885,104,123.7,0.6,0.6,138.4,0,0,0,0,0,0,3
25439,99,172.9,0.6,0.6,143.7,0,0,0,0,0,0,3
66,1,0.0,0.0,0.5,33.0,67,1,0.0,0.0,0.5,33.5,3
30410,118,119.0,0.5,0.6,143.4,0,0,0,0,0,0,3
27344,109,145.9,0.5,0.6,138.8,0,0,0,0,0,0,3
26767,104,132.8,0.5,0.6,143.1,0,0,0,0,0,0,3
31878,124,146.8,0.6,0.6,143.6,0,0,0,0,0,0,3
28852,115,150.8,0.6,0.6,139.4,0,0,0,0,0,0,3
28271,110,150.4,0.6,0.6,143.5,0,0,0,0,0,0,3
66,1,0.0,0.0,0.2,11.0,67,1,0.0,0.0,0.2,11.2,3
33232,129,135.4,0.5,0.6,143.2,0,0,0,0,0,0,3
30380,121,152.8,0.6,0.6,140.0,0,0,0,0,0,0,3
29677,115,140.6,0.5,0.6,143.4,0,0,0,0,0,0,3
66,1,0.0,0.0,0.2,11.0,67,1,0.0,0.0,0.2,11.2,3
34509,135,127.7,0.6,0.6,142.6,0,0,0,0,0,0,3
31353,126,97.3,0.5,0.6,138.1,0,0,0,0,0,0,3
31034,121,135.7,0.6,0.6,143.0,0,0,0,0,0,0,3
35771,140,126.2,0.5,0.6,141.9,0,0,0,0,0,0,3
32857,132,150.4,0.6,0.6,138.6,0,0,0,0,0,0,3
32274,126,124.0,0.5,0.6,142.2,0,0,0,0,0,0,3
37320,146,154.9,0.6,0.6,142.4,0,0,0,0,0,0,3
34756,138,189.9,0.6,0.6,140.7,0,0,0,0,0,0,3
33748,132,147.4,0.6,0.6,142.4,0,0,0,0,0,0,3
